nervousness_frequency,sleep_quality,overwhelmed_frequency,mood_description,physical_symptoms,concentration_ability,irritability_frequency,stress_level
4,1,3,3,3,3,2,Moderate
5,4,5,3,5,4,3,High
4,5,4,4,3,4,4,High
3,3,3,3,2,3,1,Moderate
4,4,4,3,4,4,3,High
2,3,1,2,2,3,2,Moderate
3,5,4,4,4,2,5,High
2,1,2,1,3,3,2,Low
5,5,5,4,5,4,5,High
1,2,1,1,2,1,2,Low
2,1,2,2,2,1,2,Low
2,3,4,3,1,2,3,Moderate
1,2,2,2,3,2,2,Low
2,2,3,2,3,5,3,Moderate
1,1,1,2,1,1,1,Low
4,4,3,2,4,4,3,Moderate
1,2,1,1,1,2,1,Low
2,1,2,3,2,2,3,Moderate
4,2,4,4,1,3,4,Moderate
5,3,5,5,5,4,3,High
5,5,4,5,4,4,4,High
5,5,4,5,4,5,5,High
3,3,5,4,4,4,4,High
1,1,1,1,1,1,1,Low
2,3,2,2,2,1,2,Low
2,1,1,2,1,1,2,Low
3,4,2,4,3,3,3,Moderate
2,2,2,1,3,2,2,Low
3,4,2,3,3,3,3,Moderate
2,1,3,2,2,2,2,Low
3,3,3,3,4,3,3,Moderate
4,4,2,3,4,4,4,High
1,2,2,1,2,2,2,Low
3,3,3,2,2,2,2,Moderate
5,4,4,4,5,4,5,High
4,2,3,2,3,2,3,Moderate
5,5,5,5,5,4,5,High
3,3,5,4,3,5,4,High
1,2,1,2,2,1,1,Low
1,2,2,1,1,1,1,Low
4,4,4,3,4,3,4,High
3,3,2,4,3,4,4,Moderate
4,4,5,5,4,5,4,High
3,4,4,3,3,3,3,Moderate
5,4,4,4,4,3,4,High
3,3,3,3,2,1,2,Moderate
4,4,4,4,3,5,3,High
2,1,1,2,2,3,3,Low
1,2,1,2,2,2,1,Low
4,3,4,4,3,4,4,High
5,5,5,5,5,4,3,High
4,2,1,2,2,1,2,Low
4,5,4,4,5,4,4,High
2,3,2,2,4,1,3,Moderate
1,2,1,1,2,1,1,Low
2,1,1,1,2,2,2,Low
4,4,3,3,3,4,3,Moderate
5,4,4,3,4,4,4,High
2,2,2,1,2,1,2,Low
2,2,1,1,1,3,1,Low
2,2,2,2,3,3,2,Moderate
5,5,3,3,3,5,3,High
2,1,1,1,1,2,1,Low
4,3,4,3,2,4,1,Moderate
4,4,5,3,4,3,4,High
2,2,3,2,1,2,2,Low
2,2,2,1,2,1,2,Low
3,3,3,2,3,4,3,Moderate
2,2,3,3,1,3,2,Moderate
1,1,3,3,2,2,3,Moderate
3,3,2,2,3,2,3,Moderate
4,5,3,1,4,4,2,Moderate
1,3,2,2,3,3,2,Moderate
1,1,1,1,1,2,1,Low
2,1,2,2,2,2,1,Low
2,3,3,1,1,2,3,Moderate
2,1,2,1,2,2,1,Low
3,4,4,4,4,3,3,High
4,3,3,1,3,3,3,Moderate
5,4,4,4,3,3,4,High
3,4,4,4,5,4,4,High
2,1,2,2,2,3,3,Moderate
5,4,4,4,4,5,5,High
2,3,1,1,1,1,1,Low
2,3,2,2,2,1,3,Moderate
1,2,1,2,2,2,2,Low
3,3,3,4,3,3,3,Moderate
3,4,3,3,4,4,3,Moderate
1,2,2,3,2,2,1,Low
3,4,5,4,3,3,4,High
2,1,3,1,1,1,2,Low
4,5,3,5,4,3,3,High
2,1,1,1,1,1,1,Low
3,5,4,5,4,4,4,High
4,2,3,3,3,3,4,Moderate
4,4,5,5,5,5,5,High
3,5,4,4,5,4,3,High
4,5,5,5,5,4,5,High
1,2,2,3,1,1,1,Low
2,3,3,4,4,5,3,Moderate
2,1,1,3,2,1,2,Low
5,3,4,3,4,4,3,High
2,2,3,3,4,2,3,Moderate
4,3,2,3,3,2,4,Moderate
3,4,5,5,5,4,4,High
3,5,4,3,4,4,4,High
4,3,4,4,4,4,3,High
1,3,2,2,2,2,2,Low
3,1,1,2,2,2,1,Low
2,2,1,2,2,2,2,Low
3,5,3,4,5,2,4,High
5,4,4,4,5,3,4,High
3,3,4,3,2,3,3,Moderate
4,5,4,2,4,4,4,High
4,3,2,4,3,4,5,High
5,5,5,4,3,4,5,High
4,5,3,5,4,4,4,High
2,2,2,1,1,2,2,Low
2,1,2,2,2,2,2,Low
2,2,2,2,2,2,2,Low
1,1,1,1,1,1,1,Low
4,5,5,4,4,5,5,High
3,4,5,4,4,4,4,High
2,4,2,2,2,3,3,Moderate
1,2,2,2,2,2,1,Low
1,1,1,1,1,1,3,Low
3,1,2,1,2,1,2,Low
4,4,5,4,4,5,5,High
4,3,4,3,4,3,3,Moderate
3,3,4,4,4,3,3,Moderate
2,2,2,3,2,3,2,Moderate
2,2,3,3,3,3,3,Moderate
2,3,1,4,1,2,2,Moderate
2,3,2,2,2,2,3,Moderate
4,3,5,4,3,3,4,High
2,3,3,3,4,4,2,Moderate
2,3,2,3,2,3,3,Moderate
5,5,4,5,5,3,5,High
1,2,2,2,1,1,2,Low
1,1,2,1,1,1,1,Low
4,4,3,3,3,3,3,Moderate
2,4,3,3,2,4,3,Moderate
4,3,3,3,2,4,4,Moderate
1,1,1,2,2,2,2,Low
2,2,1,2,1,2,1,Low
5,4,4,4,5,5,4,High
3,4,4,3,3,5,5,High
2,3,3,3,3,3,4,Moderate
4,5,3,5,4,3,4,High
2,4,4,3,3,4,4,Moderate
4,4,4,3,4,4,3,High
3,3,2,3,2,3,2,Moderate
4,3,5,5,5,5,5,High
3,2,2,1,3,2,1,Low
4,3,3,3,3,3,3,Moderate
3,4,4,4,3,3,3,Moderate
3,3,3,4,3,3,4,Moderate
2,2,3,2,3,2,2,Moderate
2,1,1,1,1,1,2,Low
5,4,4,3,4,3,4,High
3,3,3,4,3,4,3,Moderate
2,2,3,3,2,1,3,Moderate
3,3,4,3,3,2,3,Moderate
3,3,2,3,3,4,3,Moderate
2,2,2,1,3,2,3,Moderate
5,3,3,4,4,3,4,High
2,3,2,3,3,2,2,Moderate
4,5,4,4,4,5,4,High
5,5,4,5,3,4,5,High
3,2,2,3,2,2,3,Moderate
2,2,1,2,2,1,2,Low
2,3,3,2,1,2,3,Moderate
2,3,3,3,4,4,3,Moderate
2,1,2,1,2,1,1,Low
2,1,1,1,1,2,1,Low
4,3,2,2,4,3,5,Moderate
3,2,2,1,2,2,3,Moderate
3,4,3,3,2,3,4,Moderate
4,4,2,4,3,2,3,Moderate
3,2,1,2,2,3,3,Moderate
3,2,2,3,3,3,3,Moderate
2,4,3,3,4,3,4,Moderate
4,5,5,4,5,5,5,High
4,4,2,3,4,4,2,Moderate
3,2,4,2,3,1,2,Moderate
1,1,1,2,1,1,1,Low
2,3,3,3,3,2,3,Moderate
3,4,4,4,4,4,5,High
2,1,2,2,1,1,2,Low
1,3,2,1,3,2,2,Low
3,1,2,2,1,2,1,Low
4,3,3,3,3,3,2,Moderate
2,3,3,4,2,4,4,Moderate
1,2,1,1,1,2,2,Low
3,2,2,2,3,2,3,Moderate
2,1,1,2,1,2,1,Low
3,3,2,3,3,3,4,Moderate
2,2,3,1,3,2,4,Moderate
4,4,5,3,4,4,5,High
2,1,2,3,1,2,2,Low
2,1,3,2,2,1,3,Low
2,2,3,3,2,3,2,Moderate
4,5,5,5,5,3,5,High
4,2,3,2,2,3,2,Moderate
1,1,1,1,1,2,2,Low
